method,task_idx,preq_em,preq_f1,cum_cost_usd,n_bullets
ours_full,26,0.4444,0.4444,2.461132,65.00
ours_full,27,0.4643,0.4643,2.510821,67.00
ours_full,28,0.4828,0.4828,2.558007,67.00
ours_full,29,0.4667,0.4667,2.685374,71.00
ours_full,30,0.4516,0.4516,2.751749,74.00
ours_full,31,0.4375,0.4375,3.534383,78.00
ours_full,32,0.4545,0.4545,3.589561,81.00
ours_full,33,0.4412,0.4412,3.637633,83.00
ours_full,34,0.4571,0.4571,3.690358,86.00
ours_full,35,0.4444,0.4444,3.769707,89.00
ours_full,36,0.4595,0.4595,3.854013,92.00
ours_full,37,0.4474,0.4474,3.895055,93.00
ours_full,38,0.4615,0.4615,3.946934,94.00
ours_full,39,0.4500,0.4500,4.004894,97.00
ours_full,40,0.4390,0.4390,4.062255,101.00
ours_full,41,0.4286,0.4286,4.120370,104.00
ours_full,42,0.4186,0.4186,4.217828,107.00
ours_full,43,0.4318,0.4318,4.287054,110.00
ours_full,44,0.4222,0.4222,4.354739,112.00
ours_full,45,0.4130,0.4130,4.438226,116.00
ours_full,46,0.4255,0.4255,4.526071,118.00
ours_full,47,0.4375,0.4375,5.271005,121.00
